,Continent,Country,FR,IM,LE,LEF,LKM,MMR,RS
DNK,Europe,Denmark,0.4495429299844324,0.3600633826166497,0.7262466968659437,0.5334374276389537,0.3327104700136789,0.0808833318985632,0.3747663719744507
EGY,Africa,Egypt,0.9071286161079316,0.2272615902419301,0.5299675141550655,0.5258898838290024,0.9152556926025934,0.7767944599080303,0.7359291853684865
ETH,Africa,Ethiopia,0.3553783592902862,0.2545323667607707,0.4659960346479703,0.0700376402307004,0.0123748089677016,0.1357770322853735,0.7861974857583474
FIN,Europe,Finland,0.0011001794366334,0.718396906691319,0.4837346887542115,0.4323226384650879,0.2917569168983833,0.3574629761349525,0.9718674299979652
FRA,Europe,France,0.4206194681643982,0.1733714770624341,0.7498574507775545,0.3084959849818202,0.3860809539092841,0.3148041618431315,0.0462906895098595
DEU,Europe,Germany,0.1444349552739628,0.6965122484065127,0.180361596269976,0.6715547790422061,0.8349604012807177,0.3424571043371747,0.5311190417105441
GHA,Africa,Ghana,0.05342073326812,0.0458182822532048,0.0750840782078573,0.6809667662363725,0.5471471329270895,0.3187920779213398,0.7693782942321287
GRC,Europe,Greece,0.5913093799824257,0.8385867608776897,0.8043193847621986,0.9810307364561636,0.5125535203633239,0.6622466400060755,0.2125808633519241
HUN,Europe,Hungary,0.4035971978973867,0.5053636071770212,0.0393791923544268,0.8522377953791477,0.9488895806689384,0.1725096546107797,0.2153955198958338
IND,Asia,India,0.7530422784469956,0.9863821432347072,0.7691664887800528,0.1026662897019402,0.1699196409369454,0.9617292177394872,0.6648627871733422
IDN,Asia,Indonesia,0.9507602033915892,0.1726935220887696,0.4502594398529239,0.8010599519349398,0.5959976144472109,0.5702412829713107,0.3248586042594972
IRN,Asia,Iran,0.2885534374280297,0.9284702069762152,0.6615454812663579,0.1916020249660289,0.2975802970991291,0.8777381083786396,0.1569939006353143
IRQ,Asia,Iraq,0.9237127621817148,0.3421406023132071,0.6157716442718534,0.1219158120509096,0.96578890305677,0.0867815177506534,0.4568962994327243
IRL,Europe,Ireland,0.2417962946247317,0.9564961165399128,0.1136076958547537,0.8993197793930787,0.93790738454997,0.9198375878120169,0.6724563917131284
ISR,Asia,Israel,0.7813673010135186,0.298162351799089,0.0139114155135624,0.5740542814916959,0.2537634921557469,0.6605898079013554,0.4618364969758203
ITA,Europe,Italy,0.0962856260800911,0.8406318894679484,0.5893871598886005,0.4971943898465464,0.4578157163447821,0.8703432590050053,0.4379040050622058
JPN,Asia,Japan,0.389987678603403,0.338773434491939,0.5509174153563702,0.3405784059688532,0.6746581917899486,0.6808038209403618,0.2662324465312786
KEN,Africa,Kenya,0.7670933050745833,0.9534165548691068,0.6366780203753656,0.0965547814012592,0.7963065260890032,0.4417222608084227,0.320070530380633
MYS,Asia,Malaysia,0.5221568046469521,0.3009870525568058,0.3962328054066044,0.2911126355238473,0.6478483576246871,0.8994342736937808,0.4941703021993231
MEX,North America,Mexico,0.3568133127940125,0.7387034672813215,0.6217214505548871,0.8309828063311044,0.3340548097932384,0.5593327551549957,0.5295236304054259
MAR,Africa,Morocco,0.0644451403691259,0.3153722256907363,0.709342689331874,0.9516737913182622,0.8639536384556756,0.4397253663412589,0.560936878346771
NPL,Asia,Nepal,0.9372044210967037,0.6220623098782488,0.4563435473385432,0.5624589852219105,0.0844693015232076,0.5505082651821263,0.5749230237632382
NLD,Europe,Netherlands,0.4056801032515353,0.4960762551769405,0.7812415457327696,0.0831600397132542,0.1185100060070666,0.7753302059368725,0.2163106370945191
NZL,Oceania,New Zealand,0.4247604887081758,0.5664528093829898,0.5359040368123994,0.574751309366331,0.0533955816254854,0.4605382404440158,0.7856456071250999
NGA,Africa,Nigeria,0.1066290174886538,0.1718360507772278,0.1075669107482008,0.7496129769399317,0.5631604034788723,0.0190365947459084,0.1554030144305439
NOR,Europe,Norway,0.2701651134481702,0.041660388614337,0.6568176704287665,0.3420578721849947,0.903743827381322,0.6622236255427879,0.9092822872410912
PAK,Asia,Pakistan,0.4930996587086725,0.6346426377683367,0.7141967420856707,0.8482445189276113,0.0261747536471531,0.0195439647305717,0.4300802100122093
PER,South America,Peru,0.8219001640959311,0.5216778354261483,0.2950452999734906,0.4250531988262789,0.7117156672351813,0.9956133614268716,0.2140326452613473
PHL,Asia,Philippines,0.2699991161371416,0.0923629485518031,0.3754136163210957,0.212672482451218,0.0370340149220975,0.7568408882391319,0.8779894019138843
POL,Europe,Poland,0.9981006146809625,0.1615843988175108,0.1697110254151889,0.1636325778389539,0.8073534729385691,0.2443299772564888,0.0255139187081714
PRT,Europe,Portugal,0.4645650834156174,0.7027944700188297,0.8990710275143392,0.6711471248744042,0.6824588881067813,0.1912543350433422,0.4858973104766297
ROU,Europe,Romania,0.8483034281891175,0.3091260847219264,0.7588055152844787,0.783640901282757,0.1980072646394888,0.3282039533005447,0.5308024719087191
RUS,Europe,Russia,0.0636171146408492,0.9513747730542026,0.3031165945199626,0.4838273507740404,0.4847945815372758,0.2673374345180249,0.5618317037423773
SAU,Asia,Saudi Arabia,0.5238144734867609,0.9160981628384964,0.6874976865846899,0.3156316814404614,0.5110124315322887,0.7169851204695068,0.7237896839659124
KOR,Asia,South Korea,0.5223327469238233,0.9638966314667842,0.5144079960593653,0.5960350717455509,0.601486755757115,0.571198978963275,0.0401772364645716
ESP,Europe,Spain,0.4872760732373768,0.7398479521522362,0.8376035937586085,0.5434028879301861,0.3841605588952506,0.6975700800346072,0.5185579448372883
LKA,Asia,Sri Lanka,0.4096015463197566,0.1999562163694014,0.3613575942568818,0.6493835590221617,0.5153404992265888,0.1867563133116923,0.7871624972043041
SWE,Europe,Sweden,0.8014059479032115,0.6272271181052098,0.7777107729691971,0.108107760412887,0.5176241857675565,0.6199524308288603,0.576752587363264
CHE,Europe,Switzerland,0.4976534790866034,0.7367069430865901,0.9065962621657064,0.6145393454340293,0.5116057377666319,0.3334673603302498,0.7712070235492121
SYR,Asia,Syria,0.9927056043729252,0.6323148420687543,0.4969993857360207,0.2823093515220061,0.5346283209539976,0.5265092158418396,0.0279717974806184
TWN,Asia,Taiwan,0.8797103641951073,0.60688695112835,0.7181740233537626,0.3948167935655335,0.1878802650636533,0.3544383345715509,0.7870713089411802
TZA,Africa,Tanzania,0.106116062925509,0.4050306587886334,0.2158859530285922,0.3725523629466509,0.3584487521186438,0.9838965541811924,0.7940183155842668
THA,Asia,Thailand,0.9738583787933563,0.2953919902407812,0.0776048121827399,0.2272695799018451,0.1028166039037634,0.4765378329418281,0.1159876418619665
TUN,Africa,Tunisia,0.9348298515377328,0.2109354921355171,0.9674957269235152,0.2855742385362764,0.1473466344865814,0.7687739724652084,0.8210805509316543
TUR,Asia,Turkey,0.1091272282986026,0.937723697859922,0.7154313945655585,0.0222190629638207,0.6357894872762838,0.3433170478460065,0.5449253053354152
UGA,Africa,Uganda,0.993009019443723,0.6041033585956411,0.9519642727651264,0.7118485070253961,0.6586428325552787,0.396900360944004,0.5678246957154676
UKR,Europe,Ukraine,0.9263337403109082,0.9481244900631765,0.5838431974424532,0.90985444727313,0.7470366934897222,0.1670974303865002,0.1407857934729608
ARE,Asia,United Arab Emirates,0.9950093861781704,0.7524962653927518,0.8101975678891034,0.553064122431482,0.5160559341138712,0.6699887202820494,0.0021271699617285
GBR,Europe,United Kingdom,0.0634926051608402,0.5327536069075735,0.4151557989041542,0.2570639630468544,0.6987562627363426,0.1875079944173266,0.5405189025812743
USA,North America,United States,0.8908106537941829,0.2973822249883502,0.3562407854596134,0.3667157545147312,0.2365907127084546,0.173886964917235,0.4092956334151579
URY,South America,Uruguay,0.5104949868185062,0.061022462386972,0.5295249161970605,0.7002656757335827,0.7443128913847323,0.6567208712120436,0.8855084590569828
VEN,South America,Venezuela,0.3736924096790428,0.0520094040664155,0.7905242826574884,0.0117165261364022,0.5585736130802393,0.8132582862808,0.4484013126793581
VNM,Asia,Vietnam,0.8491474356298008,0.0894408595812586,0.1199613252378014,0.2424437026677588,0.1516938443326003,0.3627197320884977,0.2565013755253763
YEM,Asia,Yemen,0.5860677666222215,0.1294287903994923,0.7876220748988162,0.3947867670839147,0.6616049225342816,0.7072870506229165,0.475183088976124
ZMB,Africa,Zambia,0.8863003524322937,0.5547612954367686,0.8178185788157436,0.6981505175972706,0.7689164835966275,0.2389513361103055,0.3597643139697158
ZWE,Africa,Zimbabwe,0.5683692607763862,0.2946053354295339,0.9082102117652724,0.00531455825209,0.2503907294902262,0.9027737820792124,0.4365907999195717
ECU,South America,Ecuador,0.8921059016398438,0.0128172349896495,0.6078753978826045,0.2083453085048991,0.0106137955070749,0.3107021142387604,0.9071523460161928
SLV,North America,El Salvador,0.5799785728335887,0.6226164181854645,0.2165423904828054,0.7651921427244873,0.6885477086172733,0.3042096480387326,0.2729313005739924
EST,Europe,Estonia,0.6242694864373776,0.1306816951298257,0.8258688600608395,0.811020271802199,0.279705082922134,0.2257308156931462,0.8219137304444553
