Three_Letter_Country_Code,Country_Name,FR,IM,LE,LEF,LKM,MMR,RS
IRQ,Iraq,0.9237127621817148,0.3421406023132071,0.6157716442718534,0.12191581205090962,0.96578890305677,0.08678151775065346,0.45689629943272436
IRL,Ireland,0.24179629462473173,0.9564961165399128,0.11360769585475372,0.8993197793930787,0.93790738454997,0.9198375878120167,0.6724563917131284
ISR,Israel,0.7813673010135186,0.298162351799089,0.013911415513562453,0.5740542814916959,0.2537634921557469,0.6605898079013554,0.4618364969758203
ITA,Italy,0.09628562608009117,0.8406318894679484,0.5893871598886005,0.4971943898465464,0.45781571634478213,0.8703432590050053,0.43790400506220584
JPN,Japan,0.389987678603403,0.338773434491939,0.5509174153563702,0.34057840596885325,0.6746581917899486,0.6808038209403618,0.26623244653127864
KEN,Kenya,0.7670933050745833,0.9534165548691069,0.6366780203753656,0.09655478140125928,0.7963065260890032,0.4417222608084227,0.32007053038063304
MYS,Malaysia,0.5221568046469521,0.3009870525568058,0.39623280540660444,0.29111263552384736,0.6478483576246871,0.8994342736937808,0.4941703021993231
MEX,Mexico,0.3568133127940125,0.7387034672813215,0.6217214505548871,0.8309828063311044,0.3340548097932384,0.5593327551549957,0.5295236304054259
MAR,Morocco,0.06444514036912596,0.3153722256907363,0.709342689331874,0.9516737913182622,0.8639536384556756,0.4397253663412589,0.560936878346771
NPL,Nepal,0.9372044210967035,0.6220623098782488,0.4563435473385432,0.5624589852219105,0.08446930152320764,0.5505082651821263,0.5749230237632382
NLD,Netherlands,0.40568010325153536,0.49607625517694054,0.7812415457327696,0.08316003971325425,0.11851000600706663,0.7753302059368725,0.21631063709451914
NZL,New Zealand,0.42476048870817584,0.5664528093829898,0.5359040368123994,0.574751309366331,0.05339558162548541,0.4605382404440158,0.7856456071250999
NGA,Nigeria,0.10662901748865383,0.17183605077722786,0.1075669107482008,0.7496129769399317,0.5631604034788723,0.019036594745908464,0.15540301443054394
NOR,Norway,0.2701651134481702,0.041660388614337074,0.6568176704287665,0.3420578721849947,0.9037438273813221,0.6622236255427879,0.9092822872410913
PAK,Pakistan,0.49309965870867256,0.6346426377683367,0.7141967420856707,0.8482445189276113,0.02617475364715316,0.01954396473057174,0.4300802100122093
PER,Peru,0.8219001640959311,0.5216778354261483,0.2950452999734906,0.4250531988262789,0.7117156672351813,0.9956133614268717,0.21403264526134735
PHL,Philippines,0.26999911613714167,0.09236294855180316,0.3754136163210957,0.21267248245121806,0.03703401492209757,0.7568408882391319,0.8779894019138843
POL,Poland,0.9981006146809625,0.16158439881751085,0.1697110254151889,0.1636325778389539,0.8073534729385691,0.24432997725648886,0.025513918708171435
PRT,Portugal,0.4645650834156174,0.7027944700188297,0.8990710275143392,0.6711471248744042,0.6824588881067813,0.19125433504334222,0.48589731047662976
ROU,Romania,0.8483034281891175,0.3091260847219264,0.7588055152844787,0.783640901282757,0.1980072646394888,0.32820395330054475,0.5308024719087191
RUS,Russia,0.06361711464084929,0.9513747730542026,0.30311659451996265,0.4838273507740404,0.48479458153727584,0.26733743451802494,0.5618317037423773
SAU,Saudi Arabia,0.5238144734867609,0.9160981628384964,0.6874976865846899,0.3156316814404614,0.5110124315322887,0.7169851204695068,0.7237896839659124
KOR,South Korea,0.5223327469238233,0.9638966314667842,0.5144079960593653,0.5960350717455509,0.601486755757115,0.571198978963275,0.04017723646457161
ESP,Spain,0.48727607323737687,0.7398479521522362,0.8376035937586085,0.5434028879301861,0.3841605588952506,0.6975700800346072,0.5185579448372883
LKA,Sri Lanka,0.40960154631975665,0.19995621636940142,0.36135759425688185,0.6493835590221617,0.5153404992265888,0.1867563133116923,0.7871624972043041
SWE,Sweden,0.8014059479032115,0.6272271181052098,0.7777107729691971,0.10810776041288706,0.5176241857675565,0.6199524308288603,0.576752587363264
CHE,Switzerland,0.4976534790866034,0.7367069430865901,0.9065962621657063,0.6145393454340293,0.5116057377666319,0.3334673603302498,0.7712070235492121
SYR,Syria,0.9927056043729253,0.6323148420687543,0.49699938573602076,0.2823093515220061,0.5346283209539976,0.5265092158418396,0.0279717974806184
TWN,Taiwan,0.8797103641951073,0.60688695112835,0.7181740233537626,0.39481679356553356,0.1878802650636533,0.35443833457155094,0.7870713089411802
TZA,Tanzania,0.10611606292550901,0.4050306587886334,0.21588595302859226,0.37255236294665095,0.3584487521186438,0.9838965541811925,0.7940183155842668
THA,Thailand,0.9738583787933563,0.2953919902407812,0.07760481218273996,0.22726957990184515,0.10281660390376346,0.47653783294182817,0.11598764186196653
TUN,Tunisia,0.9348298515377328,0.2109354921355171,0.9674957269235152,0.2855742385362764,0.14734663448658147,0.7687739724652084,0.8210805509316543
TUR,Turkey,0.10912722829860266,0.937723697859922,0.7154313945655585,0.0222190629638207,0.6357894872762838,0.3433170478460065,0.5449253053354152
UGA,Uganda,0.993009019443723,0.6041033585956411,0.9519642727651265,0.7118485070253961,0.6586428325552787,0.39690036094400405,0.5678246957154676
UKR,Ukraine,0.9263337403109082,0.9481244900631763,0.5838431974424532,0.90985444727313,0.7470366934897222,0.16709743038650027,0.14078579347296083
ARE,United Arab Emirates,0.9950093861781704,0.7524962653927518,0.8101975678891034,0.553064122431482,0.5160559341138712,0.6699887202820494,0.00212716996172857
GBR,United Kingdom,0.06349260516084021,0.5327536069075735,0.4151557989041542,0.2570639630468544,0.6987562627363426,0.18750799441732668,0.5405189025812743
USA,United States,0.8908106537941829,0.2973822249883502,0.35624078545961346,0.36671575451473126,0.23659071270845466,0.173886964917235,0.40929563341515796
URY,Uruguay,0.5104949868185062,0.061022462386972065,0.5295249161970605,0.7002656757335827,0.7443128913847323,0.6567208712120436,0.8855084590569828
VEN,Venezuela,0.3736924096790428,0.05200940406641552,0.7905242826574884,0.011716526136402283,0.5585736130802393,0.8132582862808,0.4484013126793581
VNM,Vietnam,0.8491474356298008,0.08944085958125869,0.11996132523780145,0.24244370266775883,0.15169384433260036,0.3627197320884977,0.25650137552537633
YEM,Yemen,0.5860677666222215,0.1294287903994923,0.7876220748988162,0.3947867670839147,0.6616049225342816,0.7072870506229165,0.47518308897612405
ZMB,Zambia,0.8863003524322937,0.5547612954367686,0.8178185788157436,0.6981505175972706,0.7689164835966275,0.2389513361103055,0.35976431396971587
ZWE,Zimbabwe,0.5683692607763862,0.29460533542953393,0.9082102117652725,0.00531455825209004,0.2503907294902262,0.9027737820792123,0.4365907999195717
ECU,Ecuador,0.8921059016398438,0.012817234989649595,0.6078753978826045,0.20834530850489918,0.010613795507074975,0.3107021142387604,0.9071523460161929
SLV,El Salvador,0.5799785728335887,0.6226164181854645,0.21654239048280544,0.7651921427244873,0.6885477086172733,0.3042096480387326,0.2729313005739924
EST,Estonia,0.6242694864373776,0.13068169512982575,0.8258688600608395,0.811020271802199,0.27970508292213403,0.22573081569314624,0.8219137304444553
